0.489569, 0.0, 0.0,0.0
0.999208, 0.0, 0.0,0.0
1.501819, 0.397239, 0.071075,1.083176
2.007517, 1.916741, 0.574483,4.795814
2.514871, 4.881784, 2.333624,4.675059
3.016709, 7.496216, 5.471006,5.29092
3.517558, 9.770898, 9.820241,5.163261
4.027895, 11.7638, 15.337063,3.888234
4.53421, 13.448099, 21.741504,2.438389
5.04, 14.868661, 28.921936,2.301917
5.545733, 16.058135, 36.757809,2.013059
6.050961, 15.875071, 45.03854,-6.312057
6.552209, 12.901837, 52.211573,-4.343704
7.057766, 10.404028, 58.067133,-4.802829
7.562855, 8.421838, 62.794139,-3.66278
8.068555, 6.823049, 66.6261,-3.415475
8.574388, 5.545396, 69.734896,-1.688573
9.078584, 4.511081, 72.253152,-1.433641
9.582734, 3.615555, 74.292113,-1.407125
10.087858, 3.04875, 75.973164,-1.70783
10.588575, 2.493886, 77.353918,-1.255939
11.098737, 2.030044, 78.502272,-1.304833
11.609854, 1.656277, 79.439533,-0.58632
12.118851, 1.313797, 80.191941,-0.641895
12.63025, 1.088518, 80.799014,-0.130111
13.138667, 0.955065, 81.329241,-0.535276
13.648388, 0.74835, 81.760112,-0.306409
14.153036, 0.606194, 82.098728,-0.233254
14.655607, 0.519921, 82.375014,0.20708
15.16246, 0.596051, 82.674448,-0.21076
15.672188, 0.492734, 82.950974,-0.152351
16.176869, 0.403682, 83.175861,-0.129341
16.680508, 0.330608, 83.359666,-0.118631
17.185105, 0.270255, 83.510391,-0.139187
17.689917, 0.221064, 83.63377,-0.120888
18.196945, 0.180803, 83.735118,-0.062886
18.701304, 0.145329, 83.817086,-0.068061
19.207507, 0.110797, 83.881694,-0.059579
19.715811, 0.0, 83.901647,0.0
